nct_id,title,status,start_date,completion_date,phase,enrollment,study_type,sponsor,sponsor_class,fda_regulated
NCT05301335,"Spinal COrd NeuromodulaTor by SpIneX and ScoNE to Treat NeurogeniC BladdEr - SCONE ""CONTINENCE"" Clinical Study",COMPLETED,2022-05-25,2024-05-01,NA,126,INTERVENTIONAL,SpineX Inc.,INDUSTRY,True
NCT02803775,Paced And Sensed Electrical Delay in CRT Therapy (PASED CRT),COMPLETED,2017-02-02,2019-02-04,NA,92,INTERVENTIONAL,Deborah Heart and Lung Center,OTHER,True
NCT03644394,Implantable MyoElectric Sensors (IMES) for Prosthetic Control in Transhumeral Amputees,COMPLETED,2014-08,2017-10,NA,3,INTERVENTIONAL,Medical University of Vienna,OTHER,True
NCT06574646,Visual Acuity Outcome Differences Between the Alcon Vivity Toric IOL and RxSight LAL+,NOT_YET_RECRUITING,2024-10-15,2026-08-01,NA,250,INTERVENTIONAL,The Eye Associates,OTHER,True
NCT04159454,"PITA-HF: Feasibility, Safety, and Tolerability",COMPLETED,2020-11-20,2023-02-01,NA,8,INTERVENTIONAL,Johns Hopkins University,OTHER,True
NCT04015154,A Post-Market Clinical Evaluation of the Treatment of Femur Fractures With the Femoral Nail PF,ACTIVE_NOT_RECRUITING,2019-09-12,2026-05,,53,OBSERVATIONAL,Stryker Trauma and Extremities,INDUSTRY,True
NCT04200937,IT Matters: The Erectile Restoration Registry,ENROLLING_BY_INVITATION,2021-08-05,2031-12,,450,OBSERVATIONAL,Boston Scientific Corporation,INDUSTRY,True
NCT03838341,Stand-alone Totally Thoracoscopic Left Atrial Appendage Occlusion Using AtriClip® Device in Non-valvular Atrial Fibrillation.,UNKNOWN,2015-06-08,2025-01-01,,100,OBSERVATIONAL,"Central Clinical Hospital of the Ministry of Internal Affairs and Administration, Warsaw, Poland",OTHER,True
NCT05529472,Safety and Effectiveness Evaluation of Peripheral Orbital Atherectomy,COMPLETED,2023-01-10,2024-10-10,NA,81,INTERVENTIONAL,Abbott Medical Devices,INDUSTRY,True
NCT03392324,PRIMA US-Feasibility Study in Atrophic Dry AMD,ACTIVE_NOT_RECRUITING,2018-04-26,2026-09,NA,5,INTERVENTIONAL,Science Corporation,INDUSTRY,True
NCT06678841,ELEVATE-HFpEF Clinical Study,RECRUITING,2025-07-09,2029-02,NA,700,INTERVENTIONAL,Medtronic Cardiac Rhythm and Heart Failure,INDUSTRY,True
NCT04058054,Skin Prick Test of KeraStat® Cream,COMPLETED,2019-07-29,2019-08-02,NA,22,INTERVENTIONAL,"KeraNetics, LLC",INDUSTRY,True
NCT06578741,GORE® EXCLUDER® Thoracoabdominal Branch Endoprosthesis Post-Approval Study,ENROLLING_BY_INVITATION,2024-11-25,2036-06-01,NA,300,INTERVENTIONAL,W.L.Gore & Associates,INDUSTRY,True
NCT05110053,Spinal Cord sTimulation thEraPy for Parkinson's Disease Patients With Gait Problems,COMPLETED,2021-09-01,2024-06-01,NA,12,INTERVENTIONAL,University of Aarhus,OTHER,True
NCT03359096,Hypoglossal Nerve Stimulation on Cardiovascular Outcomes,COMPLETED,2017-12-13,2022-01-21,NA,63,INTERVENTIONAL,University of Pennsylvania,OTHER,True
NCT03681262,Comparing Long-term Effectiveness of High Frequency and Burst Spinal Cord Stimulation,ACTIVE_NOT_RECRUITING,2019-08-01,2026-12-31,NA,7,INTERVENTIONAL,Stanford University,OTHER,True
NCT04069156,The ARIES HeartMate 3 Pump IDE Study,COMPLETED,2020-07-14,2023-08-10,NA,628,INTERVENTIONAL,Abbott Medical Devices,INDUSTRY,True
NCT07105436,Thopaz for PALs Evaluation,RECRUITING,2026-01-01,2026-09,,20,OBSERVATIONAL,Kai Swenson,OTHER,True
NCT02827032,Controlling and Lowering Blood Pressure With the MobiusHD™,RECRUITING,2016-07,2026-06,NA,200,INTERVENTIONAL,"Vascular Dynamics, Inc.",INDUSTRY,True
NCT03382652,Continuum™ Metal Bearing System in Total Hip Arthroplasty,COMPLETED,2011-02-09,2022-10-22,,83,OBSERVATIONAL,Zimmer Biomet,INDUSTRY,True
NCT01613144,OsseoScrew Versus Fenestrated Pedicle Screws Augmented With Polymethylmethacrylate,COMPLETED,2012-05,2017-11-08,,94,OBSERVATIONAL,"Alphatec Spine, Inc.",INDUSTRY,True
NCT06689111,Correlation of Typical LBBB Mechanical Activation Pattern by 2D Strain Echocardiography With Acute GWE Improvement in Patients Receiving LBBp or Conventional BiVp for Cardiac Resynchronization Therapy (Echo LBBp),RECRUITING,2024-05-23,2026-11-30,NA,100,INTERVENTIONAL,University Hospital of Patras,OTHER,True
